batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
100,100,2.097514304,40.0,31.46834921836853
100,100,2.2652485760000003,39.75,63.20936155319214
100,100,2.4462205013333334,39.833333333333336,94.68932247161864
100,100,2.6354756960000003,40.2,125.77081775665285
200,100,1.395422144,56.1,22.063747882843018
200,100,1.5879914239999997,56.2,41.31503391265869
200,100,1.7499035733333332,56.4,61.57882642745972
200,100,1.90614344,56.775,82.1642804145813
300,100,1.597212224,59.0,19.892102241516117
300,100,1.738834528,59.35,38.64137625694275
300,100,1.8614999253333333,59.53333333333333,57.6513466835022
300,100,1.941176768,59.725,76.8647391796112
400,100,2.04340352,73.7,15.417929410934448
400,100,2.15578272,72.25,30.48393559455872
400,100,1.8742912,71.6,15.476587533950806
400,100,2.0215038720000003,72.5,30.475862741470337
400,100,2.112465002666667,72.06666666666666,45.48484611511231
400,100,2.214931968,72.175,60.54127287864685
500,100,2.321652544,76.0,14.652072668075562
500,100,2.451624032,77.55,28.34972095489502
500,100,1.9141297066666665,77.5,42.70692229270935
500,100,2.028973824,77.15,56.686973571777344
600,100,2.127508288,72.0,16.101706981658936
600,100,2.252055744,71.4,31.216185569763184
600,100,2.3729556266666667,71.3,46.55919170379639
600,100,2.4569016800000005,71.225,62.10263991355896
700,100,1.4253164160000005,73.0,16.62753200531006
700,100,1.5964044159999995,73.4,29.723304271698
700,100,1.763210048,73.96666666666667,44.45569562911987
700,100,1.890487312,73.875,58.89836859703064
800,100,2.041479872,76.9,15.001644372940063
800,100,1.642556064,75.0,29.31992053985596
800,100,1.8078518613333332,76.1,43.33228421211243
800,100,1.948202256,75.975,57.73445963859558
